Wall time,Step,Value
1741160817.167165,3629,4.0300984382629395
1741160917.7072732,3657,3.3116936683654785
1741160967.6518471,3671,3.96608829498291
1741161169.7611668,3727,4.078555583953857
1741161183.2107325,3731,4.096637725830078
1741161223.866688,3742,4.052882671356201
1741161332.22399,3773,3.775278091430664
1741161360.0529964,3781,3.9531760215759277
1741161406.897216,3794,3.9824461936950684
1741161424.3560836,3799,3.54775071144104
1741161480.9877913,3815,4.228753566741943
1741161498.0576663,3820,4.956958293914795
1741161504.952474,3822,3.4456722736358643
1741161539.8305604,3832,3.747187614440918
1741161552.5720706,3836,3.945457935333252
1741161648.41007,3865,3.655198574066162
1741161690.6361163,3877,4.28935432434082
1741161870.5569885,3929,4.49150276184082
1741161909.7618852,3940,3.8443403244018555
1741161968.5619826,3957,3.738065719604492
1741162070.2164304,3985,3.975914239883423
1741162162.2034864,4011,3.5826902389526367
1741162202.8188727,4023,4.280721664428711
1741162242.1610637,4034,4.122889041900635
1741162253.319162,4037,4.247367858886719
1741162450.870832,4094,4.252660274505615
1741162465.8085475,4099,3.5325546264648438
1741162469.4656394,4100,3.6028285026550293
1741162504.315427,4110,4.566973686218262
1741162756.0417373,4183,3.5933425426483154
1741162794.8238015,4194,3.5346755981445312
1741162797.73901,4195,3.5391550064086914
1741162804.4252987,4197,4.560336112976074
1741162822.3128912,4202,3.8235833644866943
1741162825.2809484,4203,3.9795126914978027
1741162912.935161,4228,3.450862169265747
1741162931.5662284,4233,4.381490707397461
1741162942.9030666,4236,4.315805435180664
1741162971.3877397,4244,4.541265487670898
1741163041.041876,4264,4.419774055480957
1741163051.5064857,4267,4.1784563064575195
1741163055.2884204,4268,4.065646648406982
1741163108.7002747,4283,3.999390125274658
1741163187.262283,4305,3.8379881381988525
1741163233.956789,4318,4.350697040557861
1741163240.2869682,4320,4.414226055145264
1741163285.9356015,4333,4.0891218185424805
1741163415.5949512,4370,4.397894382476807
1741163502.5332081,4394,3.9054625034332275
1741163526.8161166,4401,2.9590303897857666
1741163548.477673,4407,3.6816012859344482
1741163632.639466,4431,3.5809831619262695
1741163643.2304227,4434,4.033842086791992
1741163853.7636805,4493,3.7873873710632324
1741163914.300228,4510,4.089885234832764
1741163918.536688,4511,3.9436988830566406
1741163988.1850915,4531,3.8853535652160645
1741163999.3221807,4534,3.9935638904571533
1741164031.4114609,4543,3.660853147506714
1741164159.7135024,4579,3.8052780628204346
1741164170.358542,4582,3.6878275871276855
1741164226.0703208,4598,3.779219150543213
1741164335.813872,4629,4.596188068389893
1741164434.6701229,4657,4.386773109436035
1741164463.2270305,4665,3.9885048866271973
1741164477.5693054,4669,4.034853458404541
1741164504.4148662,4677,4.310389041900635
1741164543.62631,4688,3.693373680114746
1741164633.2617419,4714,3.842700958251953
1741164651.2870111,4719,3.624774694442749
1741164707.0417216,4735,3.679291009902954
1741164762.1152482,4751,3.7418253421783447
1741164791.4561162,4759,4.43411922454834
1741164822.5859795,4768,4.014908790588379
1741164852.9131017,4777,4.0114288330078125
1741164890.4479215,4788,3.792865037918091
1741164894.2573268,4789,4.1999030113220215
1741164935.7067852,4801,3.9833173751831055
1741164942.3942137,4803,3.9379043579101562
1741165076.1557465,4841,3.2056386470794678
1741165116.5776267,4853,3.4744205474853516
1741165182.6583002,4872,4.099754333496094
1741165262.6085584,4895,3.8334853649139404
1741165335.1444166,4915,4.281948089599609
1741165500.3721557,4963,4.836130619049072
1741165531.6839497,4972,4.211526393890381
1741165542.604007,4975,3.5498390197753906
1741165549.6480534,4977,3.7569398880004883
1741165726.4355083,5028,3.766447067260742
1741165736.626969,5031,4.5117669105529785
1741165807.3657658,5051,4.037029266357422
1741165814.0717585,5053,3.742631435394287
1741165817.3129537,5054,3.836134433746338
1741165842.9698734,5061,3.539623498916626
1741165905.8981981,5079,4.32389497756958
1741166001.3791437,5107,4.072505950927734
1741166071.306778,5127,3.8844878673553467
1741166099.1785545,5135,3.6686413288116455
1741166207.6268644,5166,3.233684539794922
1741166265.5650442,5183,3.391120672225952
1741166328.310332,5201,3.7713685035705566
1741166356.1549907,5209,3.5014214515686035
1741166466.7271574,5240,4.488173007965088
1741166559.3793514,5267,3.7673821449279785
1741166641.9390538,5290,3.4602770805358887
1741166747.7595978,5319,3.6942684650421143
1741166786.6573107,5330,3.764538049697876
1741166835.878974,5346,4.498482704162598
1741166883.4120393,5360,2.7469305992126465
1741166957.0124087,5381,4.112163543701172
1741167096.8138478,5421,3.912841558456421
1741167172.4753923,5443,3.994250535964966
1741167189.6884787,5448,3.9643056392669678
1741167319.9076586,5485,3.62772536277771
1741167357.2267067,5496,3.65053391456604
1741167378.108704,5502,3.8095662593841553
1741167426.3744738,5516,3.9756524562835693
1741167433.566221,5518,4.833087921142578
1741167547.6990855,5550,3.894005537033081
1741167630.6651459,5574,4.2971367835998535
1741167672.529389,5586,3.110931873321533
1741167679.074647,5588,3.6015353202819824
1741167700.2563539,5594,3.6437721252441406
1741167740.7366982,5606,4.105828285217285
1741167827.9434822,5631,3.2423999309539795
1741167927.0133338,5659,3.101647138595581
1741167934.4899004,5661,4.004974365234375
1741167947.434555,5665,4.383260726928711
1741167998.0634,5680,3.6328022480010986
1741168142.493943,5721,3.94559383392334
1741168152.8445115,5724,4.156970977783203
1741168337.229684,5777,3.479402542114258
1741168346.7141755,5780,3.8477611541748047
1741168382.6897633,5790,4.233288288116455
1741168445.91037,5808,3.902770757675171
1741168449.465618,5809,3.9563963413238525
1741168507.7381418,5826,3.642228603363037
1741168517.7183785,5829,3.955936908721924
1741168636.5466607,5863,4.539417743682861
1741168643.8027914,5865,3.640685796737671
1741168668.1306396,5872,3.562805652618408
1741168763.6089866,5899,4.1903510093688965
1741168794.8660529,5908,3.8942296504974365
1741168866.8374186,5929,4.109601020812988
1741168950.939755,5953,3.7269718647003174
1741168968.4959445,5958,4.12791109085083
1741168989.9789107,5964,3.6828765869140625
1741169083.9077513,5991,3.512409210205078
1741169153.7456033,6011,4.2460455894470215
1741169169.8627436,6016,3.9635403156280518
1741169222.2304924,6031,3.7107882499694824
1741169240.9375684,6036,4.499658584594727
1741169382.1187057,6079,3.047123908996582
1741169396.4476786,6083,3.769256830215454
1741169469.535103,6104,3.8818726539611816
1741169476.5141642,6106,3.8124263286590576
1741169534.5453236,6122,3.6683313846588135
1741169541.6990411,6124,3.7241108417510986
1741169562.4233913,6130,3.2777292728424072
1741169569.7296565,6132,3.69362211227417
1741169632.9034564,6150,3.9128901958465576
1741169712.7834513,6173,3.3796472549438477
1741169744.2568443,6182,4.000335216522217
1741169813.4494693,6201,3.7552754878997803
