Wall time,Step,Value
1741148030.68352,19,3.051957368850708
1741148108.2300086,43,3.1519460678100586
1741148118.331381,46,3.1659793853759766
1741148154.67926,57,3.192682981491089
1741148204.9189003,72,3.225313663482666
1741148214.7729683,75,3.2276885509490967
1741148291.0020099,95,3.350586175918579
1741148504.7710485,156,3.4107353687286377
1741148515.6992254,159,3.4151124954223633
1741148547.3096461,168,3.4203174114227295
1741148762.9459748,230,3.43586802482605
1741148781.6049051,235,3.442164182662964
1741148855.6419184,256,3.4490063190460205
1741148874.3587036,261,3.4546451568603516
1741148897.9214873,268,3.4523327350616455
1741148918.4778292,274,3.4517571926116943
1741149042.0929725,309,3.4608304500579834
1741149049.8527973,311,3.4635255336761475
1741149077.6539671,319,3.4638171195983887
1741149176.9799755,348,3.460585117340088
1741149247.170231,368,3.4632441997528076
1741149433.8992863,422,3.462566375732422
1741149436.9230773,423,3.461529016494751
1741149506.8011322,443,3.4629905223846436
1741149569.876772,461,3.464599609375
1741149620.0488992,475,3.4681105613708496
1741149833.2440195,537,3.464707136154175
1741149927.3199317,564,3.465644598007202
1741149983.2847383,580,3.466531753540039
1741150008.8120608,587,3.4686810970306396
1741150011.7465448,588,3.4677724838256836
1741150129.8793046,621,3.473724603652954
1741150179.8413672,635,3.4758188724517822
1741150208.2174816,643,3.4767048358917236
1741150224.7780104,648,3.4754345417022705
1741150232.7975023,650,3.477078676223755
1741150275.4789836,662,3.4785237312316895
1741150310.5379324,672,3.478930950164795
1741150465.608668,715,3.486590623855591
1741150494.680322,723,3.4882214069366455
1741150521.7316525,731,3.4870524406433105
1741150612.2646687,757,3.486880302429199
1741150643.3074195,766,3.4864375591278076
1741150657.2870905,770,3.4864814281463623
1741150664.0476685,772,3.486206293106079
1741150713.9688287,786,3.487623929977417
1741150720.3156083,788,3.4868264198303223
1741150746.032615,795,3.488473415374756
1741150774.3654478,803,3.4890027046203613
1741150795.6032214,809,3.4893782138824463
1741150893.3954508,837,3.489485263824463
1741151148.5970986,910,3.4900009632110596
1741151264.1581852,943,3.490415573120117
1741151274.678693,946,3.4904675483703613
1741151334.753575,963,3.4912328720092773
1741151366.9853754,972,3.4920668601989746
1741151370.96006,973,3.492563009262085
1741151392.5654223,979,3.4932267665863037
1741151395.829754,980,3.4929933547973633
1741151414.3691294,985,3.494084119796753
1741151477.3403316,1003,3.494161605834961
1741151487.7314622,1006,3.4940707683563232
1741151522.7933278,1015,3.4976325035095215
1741151696.6856635,1064,3.4999899864196777
1741151707.9221299,1067,3.5006802082061768
1741151728.26975,1073,3.500068426132202
1741151752.305502,1079,3.5028815269470215
1741151768.0335035,1084,3.5012335777282715
1741151800.5712483,1094,3.498971700668335
1741151820.0961118,1100,3.497636079788208
1741151837.735613,1105,3.4977731704711914
1741152039.1088274,1157,3.514617443084717
1741152059.3354523,1162,3.5169012546539307
1741152062.6823187,1163,3.5167548656463623
1741152127.7458706,1181,3.51824688911438
1741152180.1315353,1194,3.523815155029297
1741152228.3569164,1207,3.5258166790008545
1741152375.2337577,1245,3.5361745357513428
1741152436.811729,1262,3.5373339653015137
1741152508.3865085,1282,3.5379798412323
1741152554.243449,1295,3.537874221801758
1741152649.5805945,1317,3.5511648654937744
1741152663.4989715,1320,3.553638458251953
1741152719.9496992,1334,3.5586607456207275
1741152734.1417522,1338,3.558628797531128
1741152905.4721644,1386,3.5590014457702637
1741152930.3025174,1393,3.5589420795440674
1741153007.6160228,1415,3.5582470893859863
1741153051.0928464,1427,3.5587923526763916
1741153086.718781,1437,3.5588185787200928
1741153193.7924714,1467,3.5590293407440186
1741153231.1660073,1478,3.557827949523926
1741153260.0044444,1486,3.5580809116363525
1741153280.6414282,1492,3.5576040744781494
1741153395.1909406,1524,3.5580673217773438
1741153409.1438398,1528,3.557884454727173
1741153497.9522245,1553,3.557795286178589
1741153557.3633556,1569,3.559379816055298
1741153559.9632711,1570,3.5587687492370605
1741153613.4340398,1585,3.5588250160217285
1741153627.6007378,1589,3.558781862258911
1741153689.1703753,1606,3.5594482421875
1741153817.8061438,1641,3.5619194507598877
1741153846.086226,1649,3.56178879737854
1741153918.09659,1669,3.562252998352051
